Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WinUIClassicSamplesBrowser.csproj,File,WinUIClassicSamplesBrowser.csproj,,,Microsoft.Extensions.DependencyModel 6.0.2,,,,,"Microsoft.Extensions.DependencyModel, 6.0.2  Recommendation:  Remove Microsoft.Extensions.DependencyModel, and replace with new package Microsoft.Extensions.DependencyModel 8.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WinUIClassicSamplesBrowser.csproj,File,WinUIClassicSamplesBrowser.csproj,,,Microsoft.Extensions.Hosting 6.0.1,,,,,"Microsoft.Extensions.Hosting, 6.0.1  Recommendation:  Remove Microsoft.Extensions.Hosting, and replace with new package Microsoft.Extensions.Hosting 8.0.1"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,WinUIClassicSamplesBrowser.csproj,File,WinUIClassicSamplesBrowser.csproj,,,Microsoft.WindowsAppSDK 1.4.231008000,,,,,"Microsoft.WindowsAppSDK, 1.4.231008000  Recommendation:  Microsoft.WindowsAppSDK, 1.8.260317003"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,WinUIClassicSamplesBrowser.csproj,File,WinUIClassicSamplesBrowser.csproj,,,Microsoft.Xaml.Behaviors.WinUI.Managed 2.0.9,,,,,"Microsoft.Xaml.Behaviors.WinUI.Managed, 2.0.9  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,WinUIClassicSamplesBrowser.csproj,File,WinUIClassicSamplesBrowser.csproj,,,WinUIEx 2.3.2,,,,,"WinUIEx, 2.3.2  Recommendation:  No supported version found"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,WinUIClassicSamplesBrowser.csproj,File,WinUIClassicSamplesBrowser.csproj,,,,,,,,Current target framework: net7.0-windows10.0.19041.0 Recommended target framework: net8.0-windows10.0.22000.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,WinUIClassicSamplesBrowser.csproj,File,Helpers\SettingsStorageExtensions.cs,78,8,T:System.WindowsRuntimeSystemExtensions,,,,,var item = await folder.TryGetItemAsync(fileName).AsTask().ConfigureAwait(false);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,WinUIClassicSamplesBrowser.csproj,File,Helpers\TitleBarHelper.cs,71,12,T:Windows.UI.Color,,,,,App.MainWindow.AppWindow.TitleBar.BackgroundColor = Colors.Transparent;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,WinUIClassicSamplesBrowser.csproj,File,Helpers\TitleBarHelper.cs,64,12,T:Windows.UI.Color,,,,,"App.MainWindow.AppWindow.TitleBar.ButtonPressedBackgroundColor = theme switch              {                  ElementTheme.Dark => Color.FromArgb(0x66, 0xFF, 0xFF, 0xFF),                  ElementTheme.Light => Color.FromArgb(0x66, 0x00, 0x00, 0x00),                  _ => Colors.Transparent              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,WinUIClassicSamplesBrowser.csproj,File,Helpers\TitleBarHelper.cs,64,12,T:Windows.UI.Color,,,,,"App.MainWindow.AppWindow.TitleBar.ButtonPressedBackgroundColor = theme switch              {                  ElementTheme.Dark => Color.FromArgb(0x66, 0xFF, 0xFF, 0xFF),                  ElementTheme.Light => Color.FromArgb(0x66, 0x00, 0x00, 0x00),                  _ => Colors.Transparent              };"
